QTYRANK,DOLLARRANK,INDEX,ITEM CODE,DESCRIPTION,PRICE,VENDOR,Month,CreativeTeam,Writer,InteriorArtist,CoverArtist,WriterIsArtist,WriterIsCoverArtist,ArtistIsCoverArtist,Volume,CreatorOwned
1,1,8.54,OCT160291-M,BATMAN,16.99,DC,2017-01-01,"(W) Tom King, Scott Snyder (A) Mikel Janin, Ivan Reis, Matt Batt Banning, Danny Miki, Sandra Hope, Scott Hanna, Joe Prado, Oclair Albert (A/CA) David Finch","Tom King, Scott Snyder","Mikel Janin, Ivan Reis, Matt Batt Banning, Danny Miki, Sandra Hope, Scott Hanna, Joe Prado, Oclair Albert,David Finch",David Finch,False,False,True,1.0,False
2,18,6.76,NOV160670-M,KILL OR BE KILLED,9.99,Image,2017-01-01,(W) Ed Brubaker (A/CA) Sean Phillips,Ed Brubaker,Sean Phillips,Sean Phillips,False,False,True,1.0,True
3,5,5.51,OCT160292,FLASH,17.99,DC,2017-01-01,"(W) Joshua Williamson (A) Carmine Di Giandomenico, Neil Googe, Felipe Watanabe, Andrew Currie, Oclair Albert (CA) Karl Kerschl",Joshua Williamson,"Carmine Di Giandomenico, Neil Googe, Felipe Watanabe, Andrew Currie, Oclair Albert",Karl Kerschl,False,False,False,1.0,False
4,10,5.23,OCT160297,SUPERMAN,16.99,DC,2017-01-01,"(W) Peter J. Tomasi, Patrick Gleason (A) Patrick Gleason, Jorge Jimenez, Mick Gray (A/CA) Doug Mahnke, Jaime Mendoza","Peter J. Tomasi, Patrick Gleason","Patrick Gleason, Jorge Jimenez, Mick Gray,Doug Mahnke, Jaime Mendoza","Doug Mahnke, Jaime Mendoza",False,False,True,1.0,False
5,42,4.83,AUG120491,SAGA,9.99,Image,2017-01-01,(W) Brian K. Vaughan (A/CA) Fiona Staples,Brian K. Vaughan,Fiona Staples,Fiona Staples,False,False,True,1.0,True
6,13,4.77,OCT160295,JUSTICE LEAGUE,16.99,DC,2017-01-01,"(W) Bryan Hitch (A) Bryan Hitch, Jesus Merino, Scott Hanna, Sandu Florea, Andy Owens, Daniel Henriques (A/CA) Tony S. Daniel",Bryan Hitch,"Bryan Hitch, Jesus Merino, Scott Hanna, Sandu Florea, Andy Owens, Daniel Henriques,Tony S. Daniel",Tony S. Daniel,False,False,True,1.0,False
7,45,4.4,JAN160645,PAPER GIRLS,9.99,Image,2017-01-01,(W) Brian K. Vaughan (A/CA) Cliff Chiang,Brian K. Vaughan,Cliff Chiang,Cliff Chiang,False,False,True,1.0,True
8,15,4.36,SEP161136,STAR WARS HAN SOLO,16.99,Marvel,2017-01-01,(W) Marjorie M. Liu (A) Mark Brooks (CA) Olivier Coipel,Marjorie M. Liu,Mark Brooks,Olivier Coipel,False,False,False,1.0,False
9,17,4.19,OCT160293,GREEN ARROW,16.99,DC,2017-01-01,(W) Ben Percy (A) Otto Schmidt (A/CA) Juan Ferreyra,Ben Percy,"Otto Schmidt,Juan Ferreyra",Juan Ferreyra,False,False,True,1.0,False
10,9,4.18,NOV160656-M,BLACK MONDAY MURDERS,19.99,Image,2017-01-01,(W) Jonathan Hickman (A/CA) Tomm Coker,Jonathan Hickman,Tomm Coker,Tomm Coker,False,False,True,1.0,True
11,36,4.13,FEB160628-M,GODDAMNED,9.99,Image,2017-01-01,(W) Jason Aaron (A/CA) R. M. Guera,Jason Aaron,R. M. Guera,R. M. Guera,False,False,True,1.0,True
12,29,4.08,NOV128157,WALKING DEAD,14.99,Image,2017-01-01,(W) Robert Kirkman (A) Cliff Rathburn (A/CA) Tony Moore,Robert Kirkman,"Cliff Rathburn,Tony Moore",Tony Moore,False,False,True,1.0,True
13,11,4.07,OCT161018,STAR WARS,19.99,Marvel,2017-01-01,"(W) Jason Aaron, Chris Eliopoulos (A) Jorge Molina, Mike Mayhew, Chris Eliopoulos (CA) Mike Deodato","Jason Aaron, Chris Eliopoulos","Jorge Molina, Mike Mayhew, Chris Eliopoulos",Mike Deodato,False,False,False,4.0,False
14,4,3.99,OCT160296,NIGHTWING,16.99,DC,2017-01-01,(W) Tim Seeley (A) Yanick Paquette (A/CA) Javi Fernandez,Tim Seeley,"Yanick Paquette,Javi Fernandez",Javi Fernandez,False,False,True,1.0,False
